User_ID,Date,Amount,Category,Payment_Type,Merchant
STU_2024_003,2024-01-01 11:30:53,1500.0,Rent,Credit Card,Luxury Apartment
STU_2024_002,2024-01-01 12:30:27,800.0,Rent,Debit Card,Dormitory
STU_2024_001,2024-01-01 13:00:01,1200.0,Rent,Credit Card,Apartment Management
STU_2024_005,2024-01-01 14:00:51,1000.0,Rent,Credit Card,Studio Apartment
STU_2024_004,2024-01-01 16:30:26,600.0,Rent,Debit Card,Shared Apartment
STU_2024_003,2024-01-02 07:29:55,85.6,Food & Dining,Digital Wallet,Fine Dining
STU_2024_004,2024-01-02 07:40:36,15.3,Food & Dining,Cash,Home Cooking
STU_2024_005,2024-01-02 12:51:19,55.3,Food & Dining,Digital Wallet,Restaurant
STU_2024_001,2024-01-02 19:53:51,45.5,Food & Dining,Debit Card,Walmart
STU_2024_002,2024-01-02 22:01:09,25.3,Food & Dining,Cash,Cafeteria
STU_2024_001,2024-01-03 19:05:29,12.99,Entertainment,Digital Wallet,Netflix
STU_2024_004,2024-01-03 21:53:14,9.99,Entertainment,Digital Wallet,YouTube Premium
STU_2024_002,2024-01-03 22:07:05,14.99,Entertainment,Digital Wallet,Spotify
STU_2024_005,2024-01-03 22:27:10,19.99,Entertainment,Credit Card,Netflix
STU_2024_003,2024-01-03 22:29:51,29.99,Entertainment,Credit Card,Apple Music
STU_2024_001,2024-01-04 09:09:11,25.0,Transportation,Cash,Uber
STU_2024_002,2024-01-04 12:14:43,10.0,Transportation,Cash,Subway
STU_2024_003,2024-01-04 16:53:17,50.0,Transportation,Cash,Lyft Premium
STU_2024_004,2024-01-04 18:14:22,5.0,Transportation,Cash,Biking
STU_2024_005,2024-01-04 21:01:33,25.0,Transportation,Cash,Uber
STU_2024_002,2024-01-05 10:45:45,65.5,Utilities,Credit Card,Phone Bill
STU_2024_003,2024-01-05 11:30:50,120.8,Utilities,Credit Card,Premium Internet
STU_2024_001,2024-01-05 12:15:05,85.3,Utilities,Cash,Electric Company
STU_2024_004,2024-01-05 16:45:59,35.5,Utilities,Debit Card,Basic Internet
STU_2024_005,2024-01-05 17:15:37,75.8,Utilities,Credit Card,Electric & Gas
STU_2024_002,2024-01-06 10:17:39,18.75,Food & Dining,Debit Card,Fast Food
STU_2024_001,2024-01-06 10:50:15,35.67,Food & Dining,Cash,Restaurant
STU_2024_005,2024-01-06 14:52:12,35.9,Food & Dining,Debit Card,Grocery Store
STU_2024_004,2024-01-06 21:08:06,12.75,Food & Dining,Cash,Grocery Store
STU_2024_003,2024-01-06 21:31:14,65.9,Food & Dining,Credit Card,Restaurant
STU_2024_002,2024-01-07 10:15:12,50.0,Health,Digital Wallet,Gym Membership
STU_2024_005,2024-01-07 10:30:10,120.0,Health,Digital Wallet,Insurance
STU_2024_004,2024-01-07 12:45:19,20.0,Health,Cash,Public Park
STU_2024_003,2024-01-07 14:15:28,300.0,Health,Credit Card,Personal Trainer
STU_2024_001,2024-01-07 15:15:46,150.0,Health,Credit Card,Hospital
STU_2024_001,2024-01-08 05:00:00,149.99,Entertainment,Digital Wallet,Gaming Console
STU_2024_003,2024-01-08 10:42:56,95.0,Personal Care,Credit Card,Spa
STU_2024_002,2024-01-08 11:11:40,28.9,Personal Care,Cash,Pharmacy
STU_2024_004,2024-01-08 14:53:17,18.9,Personal Care,Debit Card,Drugstore
STU_2024_001,2024-01-08 19:00:51,45.0,Personal Care,Debit Card,Pharmacy
STU_2024_005,2024-01-08 19:23:43,45.0,Personal Care,Credit Card,Pharmacy
STU_2024_001,2024-01-09 21:28:02,89.99,Entertainment,Digital Wallet,Amazon Prime
STU_2024_004,2024-01-09 21:51:47,19.99,Entertainment,Credit Card,Hulu
STU_2024_002,2024-01-09 22:01:22,39.99,Entertainment,Credit Card,Disney+
STU_2024_003,2024-01-09 22:06:57,149.99,Entertainment,Digital Wallet,Gaming Console
STU_2024_005,2024-01-09 22:58:44,59.99,Entertainment,Digital Wallet,Amazon Prime
STU_2024_002,2024-01-10 03:45:00,65.9,Food & Dining,Credit Card,Restaurant
STU_2024_003,2024-01-10 07:41:40,45.0,Food & Dining,Cash,Coffee Shop
STU_2024_001,2024-01-10 13:25:43,23.5,Food & Dining,Cash,Starbucks
STU_2024_005,2024-01-10 18:29:18,22.5,Food & Dining,Cash,Coffee Shop
STU_2024_004,2024-01-10 18:31:21,8.5,Food & Dining,Cash,Coffee
STU_2024_002,2024-01-10 22:36:03,12.5,Food & Dining,Cash,Coffee Shop
STU_2024_003,2024-01-11 12:30:34,245.0,Academic Supplies,Credit Card,Laptop
STU_2024_002,2024-01-11 13:15:13,89.99,Academic Supplies,Debit Card,Calculator
STU_2024_004,2024-01-11 15:30:20,45.99,Academic Supplies,Debit Card,Notebooks
STU_2024_005,2024-01-11 17:15:21,125.99,Academic Supplies,Credit Card,Textbooks
STU_2024_001,2024-01-11 17:30:02,67.8,Academic Supplies,Debit Card,Bookstore
STU_2024_002,2024-01-12 14:00:00,25.0,Entertainment,Credit Card,Movie Theater
STU_2024_002,2024-01-12 14:05:00,45.0,Food & Dining,Credit Card,Restaurant
STU_2024_002,2024-01-12 14:10:00,85.0,Clothing,Credit Card,Fashion Store
STU_2024_004,2024-01-12 16:01:44,15.0,Transportation,Cash,Walking
STU_2024_003,2024-01-12 16:06:38,75.0,Transportation,Cash,Rental Car
STU_2024_005,2024-01-12 17:53:27,35.0,Transportation,Cash,Bus Pass
STU_2024_001,2024-01-12 18:16:10,15.0,Transportation,Cash,Bus Pass
STU_2024_002,2024-01-12 18:40:54,25.0,Transportation,Cash,Taxi
STU_2024_004,2024-01-13 07:46:40,22.4,Food & Dining,Debit Card,Grocery Store
STU_2024_003,2024-01-13 07:58:17,125.5,Food & Dining,Credit Card,Gourmet Store
STU_2024_005,2024-01-13 08:02:49,65.5,Food & Dining,Digital Wallet,Food Delivery
STU_2024_002,2024-01-13 11:18:31,32.4,Food & Dining,Digital Wallet,Grocery Store
STU_2024_001,2024-01-13 18:59:18,45.9,Food & Dining,Debit Card,Grocery Store
STU_2024_002,2024-01-14 04:30:00,125.5,Food & Dining,Credit Card,Gourmet Store
STU_2024_002,2024-01-14 11:00:33,45.0,Utilities,Debit Card,Water Bill
STU_2024_005,2024-01-14 11:30:00,85.0,Utilities,Debit Card,Internet & Phone
STU_2024_004,2024-01-14 14:00:21,25.0,Utilities,Credit Card,Phone Bill
STU_2024_003,2024-01-14 14:15:24,200.0,Utilities,Credit Card,Premium Cable
STU_2024_001,2024-01-14 15:00:54,120.0,Utilities,Credit Card,Internet
STU_2024_001,2024-01-15 02:30:00,1500.0,Rent,Credit Card,Luxury Apartment
STU_2024_001,2024-01-15 19:10:48,25.0,Entertainment,Cash,Movie Theater
STU_2024_003,2024-01-15 19:19:58,85.0,Entertainment,Cash,Concert Tickets
STU_2024_005,2024-01-15 19:42:53,35.0,Entertainment,Cash,Movie Theater
STU_2024_004,2024-01-15 20:30:13,12.0,Entertainment,Cash,Library
STU_2024_002,2024-01-15 20:37:16,18.0,Entertainment,Cash,Game Store
STU_2024_002,2024-01-16 07:28:53,28.6,Food & Dining,Cash,Restaurant
STU_2024_001,2024-01-16 07:39:04,55.3,Food & Dining,Digital Wallet,Food Delivery
STU_2024_004,2024-01-16 08:32:55,18.6,Food & Dining,Cash,Home Cooking
STU_2024_003,2024-01-16 11:08:40,95.4,Food & Dining,Digital Wallet,Food Delivery
STU_2024_005,2024-01-16 14:09:17,45.4,Food & Dining,Debit Card,Restaurant
STU_2024_005,2024-01-17 15:47:29,180.0,Clothing,Credit Card,Fashion Store
STU_2024_004,2024-01-17 17:10:26,35.0,Clothing,Debit Card,Thrift Store
STU_2024_002,2024-01-17 17:37:26,75.0,Clothing,Digital Wallet,Online Shopping
STU_2024_003,2024-01-17 20:30:00,450.0,Clothing,Credit Card,Designer Store
STU_2024_001,2024-01-17 21:16:54,200.0,Clothing,Credit Card,Fashion Store
STU_2024_003,2024-01-17 21:28:42,450.0,Clothing,Credit Card,Designer Store
STU_2024_004,2024-01-18 10:33:50,12.0,Personal Care,Cash,Drugstore
STU_2024_001,2024-01-18 12:06:01,35.0,Personal Care,Cash,Beauty Store
STU_2024_005,2024-01-18 13:46:49,55.0,Personal Care,Credit Card,Beauty Store
STU_2024_003,2024-01-18 15:57:34,150.0,Personal Care,Credit Card,Salon
STU_2024_002,2024-01-18 19:22:51,22.0,Personal Care,Debit Card,Pharmacy
STU_2024_004,2024-01-19 09:14:18,10.0,Transportation,Cash,Biking
STU_2024_005,2024-01-19 10:20:50,45.0,Transportation,Cash,Gas Station
STU_2024_003,2024-01-19 16:15:12,85.0,Transportation,Cash,Parking
STU_2024_001,2024-01-19 16:26:50,45.0,Transportation,Debit Card,Gas Station
STU_2024_002,2024-01-19 18:00:49,30.0,Transportation,Cash,Bus Pass
STU_2024_003,2024-01-20 01:15:00,300.0,Clothing,Digital Wallet,Personal Trainer
STU_2024_005,2024-01-20 09:30:26,1000.0,Rent,Credit Card,Studio Apartment
STU_2024_004,2024-01-20 13:00:12,600.0,Rent,Debit Card,Shared Apartment
STU_2024_003,2024-01-20 14:15:52,1500.0,Rent,Credit Card,Luxury Apartment
STU_2024_002,2024-01-20 15:45:16,800.0,Rent,Debit Card,Dormitory
STU_2024_001,2024-01-20 17:00:06,1200.0,Rent,Credit Card,Apartment Management
STU_2024_001,2024-01-25 19:00:00,95.4,Food & Dining,Digital Wallet,Food Delivery
