User_ID,Date,Amount,Category,Payment_Type,Merchant
STU_2024_001,2024-01-01,1200.00,Rent,Credit Card,Apartment Management
STU_2024_001,2024-01-02,45.50,Food & Dining,Debit Card,Walmart
STU_2024_001,2024-01-03,12.99,Entertainment,Digital Wallet,Netflix
STU_2024_001,2024-01-04,25.00,Transportation,Cash,Uber
STU_2024_001,2024-01-05,85.30,Utilities,Cash,Electric Company
STU_2024_001,2024-01-06,35.67,Food & Dining,Cash,Restaurant
STU_2024_001,2024-01-07,150.00,Health,Credit Card,Hospital
STU_2024_001,2024-01-08,45.00,Personal Care,Debit Card,Pharmacy
STU_2024_001,2024-01-09,89.99,Entertainment,Digital Wallet,Amazon Prime
STU_2024_001,2024-01-10,23.50,Food & Dining,Cash,Starbucks
STU_2024_001,2024-01-11,67.80,Academic Supplies,Debit Card,Bookstore
STU_2024_001,2024-01-12,15.00,Transportation,Cash,Bus Pass
STU_2024_001,2024-01-13,45.90,Food & Dining,Debit Card,Grocery Store
STU_2024_001,2024-01-14,120.00,Utilities,Credit Card,Internet
STU_2024_001,2024-01-15,25.00,Entertainment,Cash,Movie Theater
STU_2024_001,2024-01-16,55.30,Food & Dining,Digital Wallet,Food Delivery
STU_2024_001,2024-01-17,200.00,Clothing,Credit Card,Fashion Store
STU_2024_001,2024-01-18,35.00,Personal Care,Cash,Beauty Store
STU_2024_001,2024-01-19,45.00,Transportation,Debit Card,Gas Station
STU_2024_001,2024-01-20,1200.00,Rent,Credit Card,Apartment Management
STU_2024_002,2024-01-01,800.00,Rent,Debit Card,Dormitory
STU_2024_002,2024-01-02,25.30,Food & Dining,Cash,Cafeteria
STU_2024_002,2024-01-03,14.99,Entertainment,Digital Wallet,Spotify
STU_2024_002,2024-01-04,10.00,Transportation,Cash,Subway
STU_2024_002,2024-01-05,65.50,Utilities,Credit Card,Phone Bill
STU_2024_002,2024-01-06,18.75,Food & Dining,Debit Card,Fast Food
STU_2024_002,2024-01-07,50.00,Health,Digital Wallet,Gym Membership
STU_2024_002,2024-01-08,28.90,Personal Care,Cash,Pharmacy
STU_2024_002,2024-01-09,39.99,Entertainment,Credit Card,Disney+
STU_2024_002,2024-01-10,12.50,Food & Dining,Cash,Coffee Shop
STU_2024_002,2024-01-11,89.99,Academic Supplies,Debit Card,Calculator
